workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,16,10,split_n,12544,8,147,39298,230506,0,269804,230506,0.14565388207735985,0.1704858008034498,0.01820673525966998,0.021310725100431225,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,64,10,split_m,1568,64,147,5213,304,0,5517,5213,7.123074134493384,7.538461538461538,0.890384266811673,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,64,10,split_mn,6272,16,147,19649,28822,0,48471,28822,0.8107528212745766,1.363472347512317,0.10134410265932207,0.17043404343903962,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,64,10,split_k,12544,64,19,26754,7260,50196,84210,76950,0.4666666666666667,0.5106952566601689,0.058333333333333334,0.06383690708252111,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,64,10,split_n,12544,8,147,39298,57634,0,96932,57634,0.40541823133743243,0.6818544609084916,0.050677278917179054,0.08523180761356144,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,256,10,split_m,1568,64,147,5213,84,0,5297,5213,7.418916367755333,7.538461538461538,0.9273645459694166,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,256,10,split_mn,6272,16,147,19649,7213,0,26862,19649,1.4629588265951903,2.0,0.18286985332439878,0.25,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,256,10,split_k,12544,64,19,26754,1831,12564,41149,39318,0.9550171328586357,0.9994913271275243,0.11937714160732946,0.12493641589094054,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,256,10,split_n,12544,8,147,39298,14416,0,53714,39298,0.7316155936999665,1.0,0.09145194921249582,0.125,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,16,10,split_m,1568,64,147,5213,1799,0,7012,5213,5.604392470051341,7.538461538461538,0.7005490587564176,0.9423076923076923,39298
