workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
resnet50_conv3,3136,256,576,3,64,split_m,2.1208094848732624,14940,4628,0
resnet50_conv3,3136,256,576,3,128,split_m,2.4038461538461537,14940,2324,0
resnet50_conv3,3136,256,576,3,256,split_m,2.575719960278054,14940,1172,0
resnet50_conv3,3136,256,576,4,1,split_m,0.13537229010771068,11620,294942,0
resnet50_conv3,3136,256,576,4,2,split_m,0.26083240104081556,11620,147486,0
resnet50_conv3,3136,256,576,4,4,split_m,0.48607369579985477,11620,73758,0
resnet50_conv3,3136,256,576,4,8,split_m,0.8554231768149401,11620,36894,0
resnet50_conv3,3136,256,576,4,16,split_m,1.3795625290871618,11620,18462,0
resnet50_conv3,3136,256,576,4,32,split_m,1.9888814339116265,11620,9246,0
resnet50_conv3,3136,256,576,4,64,split_m,2.5525894944027554,11620,4638,0
resnet50_conv3,3136,256,576,4,128,split_m,2.974057617887344,11620,2334,0
resnet50_conv3,3136,256,576,4,256,split_m,3.241680987345727,11620,1182,0
resnet50_conv3,3136,256,576,5,1,split_m,0.13684988062733305,8300,294952,0
resnet50_conv3,3136,256,576,5,2,split_m,0.2663739762253203,8300,147496,0
resnet50_conv3,3136,256,576,5,4,split_m,0.5056782180630697,8300,73768,0
resnet50_conv3,3136,256,576,5,8,split_m,0.9180603486417132,8300,36904,0
resnet50_conv3,3136,256,576,5,16,split_m,1.5501269983564918,8300,18472,0
resnet50_conv3,3136,256,576,5,32,split_m,2.363864205969469,8300,9256,0
resnet50_conv3,3136,256,576,5,64,split_m,3.2051282051282053,8300,4648,0
resnet50_conv3,3136,256,576,5,128,split_m,3.8989101841413003,8300,2344,0
resnet50_conv3,3136,256,576,5,256,split_m,4.372102823430257,8300,1192,0
resnet50_conv3,3136,256,576,6,1,split_m,0.13684536803160305,8300,294962,0
resnet50_conv3,3136,256,576,6,2,split_m,0.26635687970938215,8300,147506,0
resnet50_conv3,3136,256,576,6,4,split_m,0.5056166085918273,8300,73778,0
resnet50_conv3,3136,256,576,6,8,split_m,0.9178573008360242,8300,36914,0
resnet50_conv3,3136,256,576,6,16,split_m,1.5495482040176238,8300,18482,0
resnet50_conv3,3136,256,576,6,32,split_m,2.3625185016509165,8300,9266,0
resnet50_conv3,3136,256,576,6,64,split_m,3.202654730668313,8300,4658,0
resnet50_conv3,3136,256,576,6,128,split_m,3.895250610099493,8300,2354,0
resnet50_conv3,3136,256,576,6,256,split_m,4.367501578615029,8300,1202,0
resnet50_conv3,3136,256,576,7,1,split_m,0.13759399493388857,6640,294972,0
resnet50_conv3,3136,256,576,7,2,split_m,0.2692078154596642,6640,147516,0
resnet50_conv3,3136,256,576,7,4,split_m,0.515989456408216,6640,73788,0
resnet50_conv3,3136,256,576,7,8,split_m,0.9526214305389772,6640,36924,0
resnet50_conv3,3136,256,576,7,16,split_m,1.651281235078784,6640,18492,0
resnet50_conv3,3136,256,576,7,32,split_m,2.6074390550389546,6640,9276,0
