workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv3,4,256,split_m,3.241680987345727,0.8104202468364318,0.9076706764568037,0.09232932354319634
resnet50_conv3,4,512,split_m,3.3944053656142645,0.8486013414035661,0.9504335023719941,0.04956649762800591
resnet50_conv3,4,1024,split_m,3.4762941866309265,0.8690735466577316,0.9733623722566594,0.026637627743340553
resnet50_conv3,4,2048,split_mn,3.5464023243889935,0.8866005810972484,0.9220646043411382,0.07793539565886176
resnet50_conv3,8,1,split_m,0.1375894331315355,0.017198679141441936,0.02201430930104568,0.9779856906989544
resnet50_conv3,8,2,split_m,0.26919035325558166,0.03364879415694771,0.043070456520893065,0.956929543479107
resnet50_conv3,8,4,split_m,0.5159253089335886,0.06449066361669857,0.08254804942937417,0.9174519505706258
resnet50_conv3,8,8,split_m,0.95240280901455,0.11905035112681875,0.15238444944232798,0.847615550557672
resnet50_conv3,8,16,split_m,1.6506244531063559,0.20632805663829448,0.2640999124970169,0.7359000875029831
resnet50_conv3,8,32,split_m,2.6058018334798443,0.32572522918498054,0.41692829335677506,0.5830717066432249
resnet50_conv3,8,64,split_m,3.6667255698886727,0.4583406962360841,0.5866760911821877,0.41332390881781234
resnet50_conv3,8,128,split_m,4.603949412025738,0.5754936765032173,0.7366319059241181,0.2633680940758819
resnet50_conv3,8,256,split_m,5.278555075044518,0.6598193843805648,0.8445688120071229,0.15543118799287714
resnet50_conv3,8,512,split_m,5.695855064507274,0.7119818830634093,0.9113368103211639,0.08866318967883613
resnet50_conv3,8,1024,split_m,5.9302657902257785,0.7412832237782223,0.9488425264361247,0.051157473563875344
resnet50_conv3,8,2048,split_m,6.054858476801868,0.7568573096002335,0.9687773562882988,0.031222643711701248
resnet50_conv5,2,1,split_n,0.04215747055176689,0.021078735275883446,0.021078735275883446,0.9789212647241166
resnet50_conv5,2,2,split_n,0.08257262467837946,0.04128631233918973,0.04128631233918973,0.9587136876608102
resnet50_conv5,2,4,split_n,0.15859088314441816,0.07929544157220908,0.07929544157220908,0.9207045584277909
resnet50_conv5,2,8,split_n,0.2938563355595177,0.14692816777975884,0.14692816777975884,0.8530718322202412
resnet50_conv5,2,16,split_n,0.5123557616312767,0.25617788081563836,0.25617788081563836,0.7438221191843617
resnet50_conv5,2,32,split_n,0.8155665520422712,0.4077832760211356,0.4077832760211356,0.5922167239788644
resnet50_conv5,2,64,split_n,1.1583085169743894,0.5791542584871947,0.5791542584871947,0.4208457415128053
resnet50_conv5,2,128,split_n,1.4664454833358467,0.7332227416679233,0.7332227416679233,0.26677725833207666
resnet50_conv5,2,256,split_n,1.6914245955818403,0.8457122977909202,0.8457122977909202,0.15428770220907984
resnet50_conv5,2,512,split_n,1.8319517709118311,0.9159758854559156,0.9159758854559156,0.08402411454408443
resnet50_conv5,2,1024,split_n,1.9113513513513514,0.9556756756756757,0.9556756756756757,0.044324324324324316
resnet50_conv5,2,2048,split_n,1.9535911602209945,0.9767955801104973,0.9767955801104973,0.023204419889502725
resnet50_conv5,4,1,split_n,0.04260464953250554,0.010651162383126385,0.010651162383126385,0.9893488376168736
resnet50_conv5,4,2,split_n,0.08430580361013335,0.021076450902533336,0.021076450902533336,0.9789235490974667
resnet50_conv5,4,4,split_n,0.1651101979828166,0.04127754949570415,0.04127754949570415,0.9587224505042958
resnet50_conv5,4,8,split_n,0.3170524942940985,0.07926312357352462,0.07926312357352462,0.9207368764264754
resnet50_conv5,4,16,split_n,0.5872689938398358,0.14681724845995894,0.14681724845995894,0.8531827515400411
resnet50_conv5,4,32,split_n,1.023363502420543,0.25584087560513574,0.25584087560513574,0.7441591243948642
resnet50_conv5,4,64,split_n,1.6277201205222631,0.4069300301305658,0.4069300301305658,0.5930699698694342
resnet50_conv5,4,128,split_n,2.3097387173396675,0.5774346793349169,0.5774346793349169,0.4225653206650831
resnet50_conv5,4,256,split_n,2.921875,0.73046875,0.73046875,0.26953125
resnet50_conv5,4,512,split_n,3.368202286110149,0.8420505715275373,0.8420505715275373,0.15794942847246274
resnet50_conv5,4,1024,split_n,3.646727920495031,0.9116819801237578,0.9116819801237578,0.08831801987624222
resnet50_conv5,4,2048,split_n,3.8036377860355954,0.9509094465088989,0.9509094465088989,0.04909055349110114
resnet50_conv5,8,1,split_n,0.042600916506759894,0.005325114563344987,0.010650229126689973,0.98934977087331
resnet50_conv5,8,2,split_n,0.0842911877394636,0.01053639846743295,0.0210727969348659,0.9789272030651341
resnet50_conv5,8,4,split_n,0.16505414672234103,0.02063176834029263,0.04126353668058526,0.9587364633194148
resnet50_conv5,8,8,split_n,0.31684587813620074,0.03960573476702509,0.07921146953405019,0.9207885304659498
