workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,32,10,split_m,25,512,4608,40176,147466,0,187642,147466,0.23252789887125483,0.29587837196370687,0.11626394943562741,0.14793918598185343,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,64,10,split_n,49,256,4608,21816,7066,0,28882,21816,1.5106987050758258,2.0,0.7553493525379129,1.0,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,64,10,split_k,49,512,2304,21816,40412,1588,63816,42000,0.6837156825874389,1.038857142857143,0.34185784129371943,0.5194285714285715,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,64,10,split_m,25,512,4608,40176,73738,0,113914,73738,0.3830257913864845,0.5917166182972144,0.19151289569324226,0.2958583091486072,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,128,10,split_n,49,256,4608,21816,3538,0,25354,21816,1.7209118876705845,2.0,0.8604559438352922,1.0,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,128,10,split_k,49,512,2304,21816,20216,804,42836,22620,1.0185825007003455,1.9289124668435014,0.5092912503501728,0.9644562334217507,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,128,10,split_m,25,512,4608,40176,36874,0,77050,40176,0.5662816353017521,1.086021505376344,0.28314081765087606,0.543010752688172,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,256,10,split_n,49,256,4608,21816,1774,0,23590,21816,1.8495972869860111,2.0,0.9247986434930056,1.0,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,256,10,split_k,49,512,2304,21816,10118,412,32346,22228,1.348914858096828,1.9629296382940435,0.674457429048414,0.9814648191470218,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,2,256,10,split_m,25,512,4608,40176,18442,0,58618,40176,0.7443447405233887,1.086021505376344,0.37217237026169436,0.543010752688172,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,1,10,split_n,49,128,4608,10908,451594,0,462502,451594,0.0943390515068043,0.09661775842903139,0.023584762876701075,0.024154439607257848,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,1,10,split_k,49,512,1152,10908,1292564,100372,1403844,1392936,0.03108037645208442,0.0313237650545323,0.007770094113021105,0.007830941263633075,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,1,10,split_mn,25,256,4608,20088,2359306,0,2379394,2359306,0.01833744222268359,0.018493573957765547,0.004584360555670897,0.004623393489441387,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,1,10,split_m,13,512,4608,38448,4718602,0,4757050,4718602,0.009172070926309372,0.009246806575337356,0.002293017731577343,0.002311701643834339,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,2,10,split_n,49,128,4608,10908,225802,0,236710,225802,0.1843268134003633,0.1932312379872632,0.046081703350090826,0.0483078094968158,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,2,10,split_k,49,512,1152,10908,646292,50196,707396,696488,0.06167973808164027,0.06264573115401845,0.015419934520410067,0.015661432788504612,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,2,10,split_mn,25,256,4608,20088,1179658,0,1199746,1179658,0.036367697829373886,0.036986991144891145,0.009091924457343472,0.009246747786222786,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,2,10,split_m,13,512,4608,38448,2359306,0,2397754,2359306,0.01819702938666769,0.018493573957765547,0.004549257346666923,0.004623393489441387,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,4,10,split_n,49,128,4608,10908,112906,0,123814,112906,0.35239956709257436,0.38644536162825716,0.08809989177314359,0.09661134040706429,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,4,10,split_k,49,512,1152,10908,323156,25108,359172,348264,0.12147940262603989,0.1252842671077114,0.03036985065650997,0.03132106677692785,43632
resnet50_conv5_1_2,49,512,4608,115605504,ws,all_to_all,4,4,10,split_mn,25,256,4608,20088,589834,0,609922,589834,0.07153701620862996,0.07397335521519614,0.01788425405215749,0.018493338803799036,43632
