workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv2_1_2,4,128,split_m,3.2341022443890273,0.8085255610972568,0.9055486284289277,0.0944513715710723
resnet50_conv2_1_2,4,256,split_m,3.3860966057441253,0.8465241514360313,0.9481070496083551,0.051892950391644876
resnet50_conv2_1_2,4,512,split_m,3.4675802139037435,0.8668950534759359,0.9709224598930482,0.02907754010695185
resnet50_conv2_1_2,4,1024,split_m,3.509810554803789,0.8774526387009473,0.9827469553450608,0.017253044654939154
resnet50_conv2_1_2,4,2048,split_m,3.5313138189244384,0.8828284547311096,0.9887678692988427,0.01123213070115725
resnet50_conv2_1_2,8,1,split_m,0.2690681812287663,0.03363352265359579,0.04305090899660261,0.9569490910033974
resnet50_conv2_1_2,8,2,split_m,0.5154767228101556,0.06443459035126944,0.08247627564962488,0.9175237243503751
resnet50_conv2_1_2,8,4,split_m,0.950875263495555,0.11885940793694437,0.15214004215928878,0.8478599578407112
resnet50_conv2_1_2,8,8,split_m,1.6460415675075362,0.20575519593844202,0.26336665080120575,0.7366333491987942
resnet50_conv2_1_2,8,16,split_m,2.5943985996499124,0.32429982495623905,0.415103775943986,0.584896224056014
resnet50_conv2_1_2,8,32,split_m,3.6441868633649457,0.4555233579206182,0.5830698981383913,0.4169301018616087
resnet50_conv2_1_2,8,64,split_m,4.56847203874945,0.5710590048436812,0.7309555261999119,0.2690444738000881
resnet50_conv2_1_2,8,128,split_m,5.231971759959657,0.6539964699949571,0.8371154815935451,0.1628845184064549
resnet50_conv2_1_2,8,256,split_m,5.6416530723219145,0.7052066340402393,0.9026644915715063,0.0973355084284937
resnet50_conv2_1_2,8,512,split_m,5.871533672891907,0.7339417091114884,0.9394453876627051,0.060554612337294866
resnet50_conv2_1_2,8,1024,split_m,5.993645291738879,0.7492056614673599,0.9589832466782207,0.04101675332177934
resnet50_conv2_1_2,8,2048,split_m,6.056625802685347,0.7570782253356684,0.9690601284296556,0.03093987157034439
resnet50_conv3_1_2,2,1,split_m,0.03274706700471808,0.01637353350235904,0.01871260971698176,0.9812873902830183
resnet50_conv3_1_2,2,2,split_m,0.06428898033836306,0.03214449016918153,0.036736560193350316,0.9632634398066496
resnet50_conv3_1_2,2,4,split_m,0.12401401174365566,0.06200700587182783,0.07086514956780324,0.9291348504321968
resnet50_conv3_1_2,2,8,split_m,0.23158736881735612,0.11579368440867806,0.1323356393242035,0.8676643606757966
resnet50_conv3_1_2,2,16,split_m,0.4089586969168121,0.20447934845840604,0.23369068395246406,0.7663093160475359
resnet50_conv3_1_2,2,32,split_m,0.6627609427609428,0.3313804713804714,0.37872053872053874,0.6212794612794612
resnet50_conv3_1_2,2,64,split_m,0.9609451279047061,0.48047256395235305,0.549111501659832,0.450888498340168
